Player
Spencer Dinwiddie
Klay Thompson
Naji Marshall
P.J. Washington
Daniel Gafford
Jaden Hardy
Dwight Powell
Olivier-Maxence Prosper
Kyrie Irving
Kessler Edwards
Dereck Lively II
Brandon Williams
Max Christie
Dante Exum
Caleb Martin
Kai Jones
Anthony Davis
