Player
Obi Toppin
T.J. McConnell
Pascal Siakam
Jarace Walker
Tyrese Haliburton
Bennedict Mathurin
Myles Turner
Andrew Nembhard
Ben Sheppard
Thomas Bryant
Johnny Furphy
Aaron Nesmith
Quenton Jackson
Enrique Freeman
Tony Bradley
James Johnson
RayJ Dennis
Isaiah Jackson
