ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
30,237,35,2025-01-05,LAL,@,HOU,"L, 115-119",1,41:19,6,13,.462,3,6,.500,3,7,.429,.577,6,7,.857,0,0,0,10,0,0,0,2,21,20.1,12
31,238,36,2025-01-07,LAL,@,DAL,"L, 97-118",1,32:05,5,14,.357,4,11,.364,1,3,.333,.500,1,2,.500,0,2,2,1,3,0,1,1,15,9.7,-25
32,239,37,2025-01-13,LAL,,SAS,"L, 102-126",1,33:29,4,13,.308,2,7,.286,2,6,.333,.385,2,2,1.000,1,4,5,8,0,0,4,3,12,6.8,-18
33,240,38,2025-01-15,LAL,,MIA,"W, 117-108",1,35:14,5,9,.556,2,3,.667,3,6,.500,.667,2,2,1.000,0,3,3,14,3,0,1,4,14,20.8,14
34,241,39,2025-01-17,LAL,,BRK,"W, 102-101",1,37:05,13,23,.565,4,8,.500,9,15,.600,.652,8,8,1.000,0,3,3,3,2,1,0,2,38,32.0,1
35,242,40,2025-01-19,LAL,@,LAC,"L, 102-116",1,34:24,4,6,.667,2,4,.500,2,2,1.000,.833,4,4,1.000,0,2,2,3,0,1,5,1,14,9.4,-16
36,243,41,2025-01-21,LAL,,WAS,"W, 111-88",1,36:04,4,15,.267,1,8,.125,3,7,.429,.300,7,7,1.000,1,1,2,8,1,0,2,1,16,12.3,18
37,244,42,2025-01-23,LAL,,BOS,"W, 117-96",1,33:16,7,13,.538,4,8,.500,3,5,.600,.692,5,6,.833,0,3,3,6,0,0,0,1,23,21.0,14
38,245,43,2025-01-25,LAL,@,GSW,"W, 118-108",1,39:29,6,10,.600,1,4,.250,5,6,.833,.650,3,3,1.000,1,4,5,7,1,0,3,0,16,16.2,17
39,246,44,2025-01-27,LAL,@,CHO,"W, 112-107",1,37:43,5,14,.357,2,8,.250,3,6,.500,.429,5,7,.714,1,4,5,6,3,0,1,1,17,16.1,0
40,247,45,2025-01-28,LAL,@,PHI,"L, 104-118",1,33:30,6,10,.600,1,3,.333,5,7,.714,.650,0,0,,0,6,6,8,1,0,3,1,13,13.4,-4
41,248,46,2025-01-30,LAL,@,WAS,"W, 134-96",1,30:05,6,14,.429,4,7,.571,2,7,.286,.571,1,2,.500,0,6,6,5,0,0,2,1,17,12.1,24
42,249,47,2025-02-01,LAL,@,NYK,"W, 128-112",1,29:29,7,12,.583,4,7,.571,3,5,.600,.750,9,9,1.000,0,5,5,6,3,0,3,3,27,25.9,18
43,250,48,2025-02-04,LAL,@,LAC,"W, 122-97",1,29:49,7,13,.538,3,7,.429,4,6,.667,.654,3,3,1.000,2,4,6,9,0,1,3,0,20,20.3,9
44,251,49,2025-02-06,LAL,,GSW,"W, 120-112",1,35:31,4,17,.235,0,9,.000,4,8,.500,.235,15,16,.938,1,2,3,4,3,1,4,3,23,14.9,2
45,252,50,2025-02-08,LAL,,IND,"W, 124-117",1,40:30,14,26,.538,4,9,.444,10,17,.588,.615,13,13,1.000,0,7,7,7,3,0,4,3,45,37.2,14
46,253,51,2025-02-10,LAL,,UTA,"W, 132-113",1,31:53,6,10,.600,3,5,.600,3,5,.600,.750,7,7,1.000,3,6,9,4,1,1,0,1,22,25.4,27
47,254,52,2025-02-12,LAL,@,UTA,"L, 119-131",1,36:00,4,15,.267,1,10,.100,3,5,.600,.300,6,8,.750,1,4,5,11,1,0,1,3,15,13.7,-13
48,255,53,2025-02-19,LAL,,CHO,"L, 97-100",1,27:15,3,9,.333,2,7,.286,1,2,.500,.444,0,0,,0,2,2,2,1,2,3,3,8,3.1,-5
49,256,54,2025-02-20,LAL,@,POR,"W, 110-102",1,40:03,9,21,.429,2,8,.250,7,13,.538,.476,12,13,.923,1,0,1,7,2,2,6,2,32,22.7,5
50,257,55,2025-02-22,LAL,@,DEN,"W, 123-100",1,32:58,7,13,.538,4,7,.571,3,6,.500,.692,5,6,.833,1,3,4,7,0,1,2,3,23,20.3,13
