ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,423.0,1,2024-10-22,NYK,@,BOS,"L, 109-132",1,24:30,9.0,14.0,0.643,1.0,2.0,0.5,8.0,12.0,0.667,0.679,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,22.0,12.3,-23.0
2,424.0,2,2024-10-25,NYK,,IND,"W, 123-98",1,29:55,10.0,19.0,0.526,3.0,5.0,0.6,7.0,14.0,0.5,0.605,3.0,4.0,0.75,2.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,26.0,20.7,36.0
3,425.0,3,2024-10-28,NYK,,CLE,"L, 104-110",1,37:36,8.0,24.0,0.333,0.0,4.0,0.0,8.0,20.0,0.4,0.333,5.0,7.0,0.714,0.0,3.0,3.0,7.0,0.0,0.0,1.0,2.0,21.0,10.6,0.0
4,426.0,4,2024-10-30,NYK,@,MIA,"W, 116-107",1,36:22,6.0,18.0,0.333,3.0,7.0,0.429,3.0,11.0,0.273,0.417,7.0,8.0,0.875,0.0,2.0,2.0,9.0,0.0,0.0,1.0,0.0,22.0,17.3,5.0
5,427.0,5,2024-11-01,NYK,@,DET,"W, 128-98",1,30:40,14.0,22.0,0.636,6.0,8.0,0.75,8.0,14.0,0.571,0.773,2.0,4.0,0.5,0.0,1.0,1.0,5.0,2.0,0.0,2.0,2.0,36.0,28.4,23.0
6,428.0,6,2024-11-04,NYK,@,HOU,"L, 97-109",1,42:25,9.0,24.0,0.375,2.0,4.0,0.5,7.0,20.0,0.35,0.417,9.0,9.0,1.0,1.0,2.0,3.0,8.0,1.0,0.0,1.0,2.0,29.0,21.9,-8.0
7,429.0,7,2024-11-06,NYK,@,ATL,"L, 116-121",1,36:45,8.0,18.0,0.444,4.0,11.0,0.364,4.0,7.0,0.571,0.556,1.0,2.0,0.5,0.0,3.0,3.0,4.0,0.0,0.0,3.0,3.0,21.0,10.7,-5.0
8,430.0,8,2024-11-08,NYK,,MIL,"W, 116-94",1,31:46,6.0,14.0,0.429,0.0,5.0,0.0,6.0,9.0,0.667,0.429,3.0,4.0,0.75,1.0,1.0,2.0,9.0,1.0,0.0,0.0,2.0,15.0,14.7,28.0
9,431.0,9,2024-11-10,NYK,@,IND,"L, 121-132",1,40:37,11.0,17.0,0.647,1.0,2.0,0.5,10.0,15.0,0.667,0.676,10.0,12.0,0.833,0.0,6.0,6.0,10.0,0.0,0.0,3.0,4.0,33.0,28.9,-8.0
10,432.0,10,2024-11-12,NYK,@,PHI,"W, 111-99",1,34:52,5.0,15.0,0.333,0.0,4.0,0.0,5.0,11.0,0.455,0.333,8.0,8.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,6.0,1.0,18.0,8.5,7.0
