ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
32,238,36,2025-01-07,LAL,@,DAL,"L, 97-118",0,24:03,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,1,1,2,0,0,0,1,0,-1.5,-5
33,239,37,2025-01-13,LAL,,SAS,"L, 102-126",0,17:22,3,6,.500,1,3,.333,2,3,.667,.583,0,0,,1,1,2,1,1,0,3,1,7,3.3,-3
34,240,38,2025-01-15,LAL,,MIA,"W, 117-108",0,25:56,6,9,.667,2,5,.400,4,4,1.000,.778,0,0,,0,1,1,4,1,1,0,3,14,13.7,0
35,241,39,2025-01-17,LAL,,BRK,"W, 102-101",0,29:04,4,8,.500,1,5,.200,3,3,1.000,.563,1,2,.500,0,1,1,3,2,2,1,2,10,9.6,0
36,242,40,2025-01-19,LAL,@,LAC,"L, 102-116",0,22:40,2,5,.400,0,3,.000,2,2,1.000,.400,0,0,,0,0,0,1,0,0,1,2,4,0.2,0
37,243,41,2025-01-21,LAL,,WAS,"W, 111-88",0,25:07,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,2,2,3,0,0,0,3,3,3.5,1
38,244,42,2025-01-23,LAL,,BOS,"W, 117-96",0,25:57,4,8,.500,4,7,.571,0,1,.000,.750,0,0,,0,1,1,4,0,0,0,5,12,9.1,22
39,245,43,2025-01-25,LAL,@,GSW,"W, 118-108",0,24:42,3,8,.375,1,6,.167,2,2,1.000,.438,0,0,,0,0,0,2,0,1,1,4,7,2.1,1
39,,44,2025-01-27,LAL,@,CHO,"W, 112-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
39,,45,2025-01-28,LAL,@,PHI,"L, 104-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
39,,46,2025-01-30,LAL,@,WAS,"W, 134-96",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
40,246,47,2025-02-01,LAL,@,NYK,"W, 128-112",0,20:28,3,6,.500,3,6,.500,0,0,,.750,0,0,,0,1,1,1,0,1,0,3,9,6.5,1
41,247,48,2025-02-04,LAL,@,LAC,"W, 122-97",0,22:02,4,10,.400,4,8,.500,0,2,.000,.600,0,0,,0,3,3,2,0,0,0,0,12,8.9,10
42,248,49,2025-02-06,LAL,,GSW,"W, 120-112",0,29:33,5,8,.625,5,8,.625,0,0,,.938,0,0,,0,0,0,1,0,0,1,3,15,9.9,-3
43,249,50,2025-02-08,LAL,,IND,"W, 124-117",1,24:56,5,13,.385,2,8,.250,3,5,.600,.462,0,0,,0,0,0,7,2,0,2,4,12,8.2,5
44,250,51,2025-02-10,LAL,,UTA,"W, 132-113",0,17:42,4,9,.444,3,8,.375,1,1,1.000,.611,0,0,,0,0,0,4,0,0,0,1,11,8.7,17
44,,52,2025-02-12,LAL,@,UTA,"L, 119-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
45,251,53,2025-02-19,LAL,,CHO,"L, 97-100",0,20:12,2,7,.286,2,6,.333,0,1,.000,.429,0,0,,2,1,3,2,0,0,1,3,6,2.8,-6
46,252,54,2025-02-20,LAL,@,POR,"W, 110-102",0,16:00,2,7,.286,1,6,.167,1,1,1.000,.357,2,2,1.000,0,1,1,1,1,0,0,3,7,3.7,0
47,253,55,2025-02-22,LAL,@,DEN,"W, 123-100",0,19:27,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,2,2,1,1,0,0,2,3,2.1,17
48,254,56,2025-02-25,LAL,,DAL,"W, 107-99",0,16:10,1,6,.167,0,4,.000,1,2,.500,.167,0,0,,0,0,0,0,1,0,1,1,2,-2.2,-2
49,255,57,2025-02-27,LAL,,MIN,"W, 111-102",0,20:19,1,6,.167,0,5,.000,1,1,1.000,.167,2,2,1.000,0,1,1,0,0,0,0,1,4,0.1,-5
50,256,58,2025-02-28,LAL,,LAC,"W, 106-102",0,25:49,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,1,1,3,4,1,0,0,7,10.4,11
51,257,59,2025-03-02,LAL,,LAC,"W, 108-102",1,30:30,3,10,.300,3,6,.500,0,4,.000,.450,0,0,,0,3,3,2,1,1,0,3,9,6.0,2
52,258,60,2025-03-04,LAL,,NOP,"W, 136-115",1,28:38,1,7,.143,0,6,.000,1,1,1.000,.143,0,0,,0,0,0,3,2,0,0,0,2,1.6,-8
53,259,61,2025-03-06,LAL,,NYK,"W, 113-109 (OT)",0,23:50,4,5,.800,4,4,1.000,0,1,.000,1.200,0,0,,0,1,1,1,0,0,1,3,12,8.9,4
54,260,62,2025-03-08,LAL,@,BOS,"L, 101-111",0,19:25,1,4,.250,0,3,.000,1,1,1.000,.250,0,0,,0,0,0,1,0,0,1,2,2,-1.5,-18
55,261,63,2025-03-10,LAL,@,BRK,"L, 108-111",1,33:58,8,12,.667,6,9,.667,2,3,.667,.917,2,2,1.000,0,0,0,3,0,0,1,4,24,18.3,-1
56,262,64,2025-03-13,LAL,@,MIL,"L, 106-126",1,26:11,3,10,.300,0,5,.000,3,5,.600,.300,0,0,,0,1,1,1,0,0,0,1,6,0.8,-12
56,,65,2025-03-14,LAL,@,DEN,"L, 126-131",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
57,263,66,2025-03-16,LAL,,PHO,"W, 107-96",0,27:23,3,7,.429,3,5,.600,0,2,.000,.643,0,0,,1,0,1,1,1,0,0,3,9,6.5,15
58,264,67,2025-03-17,LAL,,SAS,"W, 125-109",0,27:58,4,6,.667,3,5,.600,1,1,1.000,.917,0,0,,0,2,2,1,2,0,0,3,11,10.5,9
59,265,68,2025-03-19,LAL,,DEN,"W, 120-108",0,22:50,4,6,.667,4,6,.667,0,0,,1.000,0,0,,0,0,0,1,0,0,1,2,12,8.3,7
60,266,69,2025-03-20,LAL,,MIL,"L, 89-118",1,25:03,3,12,.250,2,7,.286,1,5,.200,.333,1,2,.500,0,2,2,4,0,0,2,4,9,1.2,-6
61,267,70,2025-03-22,LAL,,CHI,"L, 115-146",0,19:22,2,4,.500,2,4,.500,0,0,,.750,0,0,,1,2,3,0,0,0,1,0,6,4.3,-5
62,268,71,2025-03-24,LAL,@,ORL,"L, 106-118",0,20:07,2,6,.333,0,4,.000,2,2,1.000,.333,0,0,,0,1,1,0,2,0,0,4,4,1.3,-2
63,269,72,2025-03-26,LAL,@,IND,"W, 120-119",0,22:08,2,6,.333,2,5,.400,0,1,.000,.500,0,0,,0,1,1,0,1,0,1,2,6,2.1,-8
64,270,73,2025-03-27,LAL,@,CHI,"L, 117-119",0,13:47,3,6,.500,2,5,.400,1,1,1.000,.667,0,0,,0,2,2,0,0,0,0,3,8,4.4,13
65,271,74,2025-03-29,LAL,@,MEM,"W, 134-127",0,23:05,5,7,.714,4,6,.667,1,1,1.000,1.000,1,1,1.000,1,1,2,1,1,0,1,3,15,12.6,9
66,272,75,2025-03-31,LAL,,HOU,"W, 104-98",0,23:34,6,14,.429,6,13,.462,0,1,.000,.643,2,2,1.000,2,2,4,1,1,1,0,1,20,16.6,8
67,273,76,2025-04-03,LAL,,GSW,"L, 116-123",0,17:25,1,5,.200,1,5,.200,0,0,,.300,0,0,,0,0,0,0,0,0,1,3,3,-2.3,-14
68,274,77,2025-04-04,LAL,,NOP,"W, 124-108",0,18:30,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,2,1,3,1,1,0,1,3,5,4.2,6
69,275,78,2025-04-06,LAL,@,OKC,"W, 126-99",0,26:28,4,7,.571,4,7,.571,0,0,,.857,0,0,,0,3,3,3,0,0,0,3,12,10.5,21
70,276,79,2025-04-08,LAL,@,OKC,"L, 120-136",0,24:45,2,7,.286,1,6,.167,1,1,1.000,.357,0,0,,0,0,0,2,1,0,0,2,5,2.5,-10
71,277,80,2025-04-09,LAL,@,DAL,"W, 112-97",0,17:10,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,0,1,1,0,0,0,0,0,2,-0.8,-16
72,278,81,2025-04-11,LAL,,HOU,"W, 140-109",0,21:21,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,1,1,1,1,0,0,1,0,-0.5,25
72,,82,2025-04-13,LAL,@,POR,"L, 81-109",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
