ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,199.0,1,2021-10-21,DAL,@,ATL,"L, 87-113",0,25:40,7.0,13.0,0.538,3.0,5.0,0.6,4.0,8.0,0.5,0.654,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,17.0,12.9,-8.0
2,200.0,2,2021-10-23,DAL,@,TOR,"W, 103-95",0,22:42,2.0,9.0,0.222,1.0,2.0,0.5,1.0,7.0,0.143,0.278,0.0,0.0,,2.0,4.0,6.0,4.0,1.0,0.0,1.0,3.0,5.0,3.7,7.0
3,201.0,3,2021-10-26,DAL,,HOU,"W, 116-106",0,28:20,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.563,2.0,2.0,1.0,1.0,3.0,4.0,11.0,1.0,0.0,2.0,3.0,11.0,14.1,7.0
4,202.0,4,2021-10-28,DAL,,SAS,"W, 104-99",0,30:06,8.0,15.0,0.533,3.0,6.0,0.5,5.0,9.0,0.556,0.633,0.0,2.0,0.0,1.0,6.0,7.0,5.0,0.0,0.0,0.0,2.0,19.0,16.1,21.0
5,203.0,5,2021-10-29,DAL,@,DEN,"L, 75-106",0,19:25,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,0.8,-7.0
6,204.0,6,2021-10-31,DAL,,SAC,"W, 105-99",0,27:08,3.0,10.0,0.3,0.0,0.0,,3.0,10.0,0.3,0.3,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,8.0,3.9,0.0
7,205.0,7,2021-11-02,DAL,,MIA,"L, 110-125",1,30:36,10.0,13.0,0.769,2.0,2.0,1.0,8.0,11.0,0.727,0.846,3.0,5.0,0.6,1.0,6.0,7.0,3.0,0.0,0.0,3.0,1.0,25.0,20.3,-3.0
8,206.0,8,2021-11-03,DAL,@,SAS,"W, 109-108",1,36:26,9.0,17.0,0.529,1.0,4.0,0.25,8.0,13.0,0.615,0.559,12.0,15.0,0.8,1.0,9.0,10.0,3.0,2.0,0.0,2.0,2.0,31.0,26.2,13.0
9,207.0,9,2021-11-06,DAL,,BOS,"W, 107-104",0,34:36,6.0,12.0,0.5,1.0,6.0,0.167,5.0,6.0,0.833,0.542,0.0,0.0,,0.0,5.0,5.0,5.0,1.0,0.0,2.0,4.0,13.0,9.4,1.0
10,208.0,10,2021-11-08,DAL,,NOP,"W, 108-92",0,30:43,7.0,12.0,0.583,0.0,2.0,0.0,7.0,10.0,0.7,0.583,3.0,3.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,1.0,17.0,15.4,26.0
