ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
68,68,71,2025-03-24,LAL,@,ORL,"L, 106-118",0,04:38,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,1,3,2.3,-6
69,69,72,2025-03-26,LAL,@,IND,"W, 120-119",0,05:23,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,0,0,3,3.0,18
70,70,73,2025-03-27,LAL,@,CHI,"L, 117-119",0,12:29,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,3,3,1,0,0,0,1,0,-0.2,5
71,71,74,2025-03-29,LAL,@,MEM,"W, 134-127",0,05:23,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,0,1,2,0,0,0,1,2,2.7,3
72,72,75,2025-03-31,LAL,,HOU,"W, 104-98",0,03:56,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
72,,76,2025-04-03,LAL,,GSW,"L, 116-123",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,77,2025-04-04,LAL,,NOP,"W, 124-108",0,20:18,5,10,.500,2,6,.333,3,4,.750,.600,0,0,,1,0,1,0,0,0,1,0,12,6.7,12
74,74,78,2025-04-06,LAL,@,OKC,"W, 126-99",0,04:52,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,1,3,2.3,5
75,75,79,2025-04-08,LAL,@,OKC,"L, 120-136",0,14:03,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,3,3,0,0,0,0,0,3,1.5,-1
76,76,80,2025-04-09,LAL,@,DAL,"W, 112-97",0,01:35,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1
77,77,81,2025-04-11,LAL,,HOU,"W, 140-109",0,04:23,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,1,0,1,0,0,0,0,1,5,4.0,6
78,78,82,2025-04-13,LAL,@,POR,"L, 81-109",1,37:22,9,21,.429,5,12,.417,4,9,.444,.548,4,4,1.000,2,6,8,0,0,2,2,1,27,18.1,-28
