ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
31,218,35,2021-12-31,OKC,,NYK,"W, 95-80",1,34:46,9,24,.375,2,7,.286,7,17,.412,.417,3,4,.750,0,4,4,4,2,1,4,3,23,10.9,1
31,,36,2022-01-02,OKC,,DAL,"L, 86-95",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
32,219,37,2022-01-05,OKC,@,MIN,"L, 90-98",1,37:30,5,15,.333,2,6,.333,3,9,.333,.400,7,7,1.000,0,2,2,5,0,0,4,4,19,9.0,-18
33,220,38,2022-01-07,OKC,,MIN,"L, 105-135",1,28:23,4,11,.364,0,3,.000,4,8,.500,.364,4,5,.800,0,3,3,6,2,1,4,1,12,8.9,-13
34,221,39,2022-01-09,OKC,,DEN,"L, 95-99",1,31:29,2,14,.143,0,3,.000,2,11,.182,.143,4,4,1.000,2,3,5,4,1,2,1,3,8,4.3,-15
35,222,40,2022-01-11,OKC,@,WAS,"L, 118-122",1,35:00,13,22,.591,1,2,.500,12,20,.600,.614,5,6,.833,0,3,3,8,1,0,2,4,32,25.3,-5
36,223,41,2022-01-13,OKC,@,BRK,"W, 130-109",1,35:03,11,18,.611,2,5,.400,9,13,.692,.667,9,10,.900,2,8,10,9,1,2,5,0,33,31.9,30
37,224,42,2022-01-15,OKC,,CLE,"L, 102-107",1,34:09,7,19,.368,0,2,.000,7,17,.412,.368,7,9,.778,1,3,4,7,1,2,3,4,21,14.0,-2
38,225,43,2022-01-17,OKC,@,DAL,"L, 102-104",1,37:20,11,18,.611,1,4,.250,10,14,.714,.639,11,12,.917,0,6,6,5,2,0,2,3,34,29.5,-3
39,226,44,2022-01-19,OKC,@,SAS,"L, 96-118",1,29:53,5,21,.238,0,4,.000,5,17,.294,.238,3,4,.750,2,1,3,7,2,0,3,2,13,4.7,-25
40,227,45,2022-01-21,OKC,@,CHO,"L, 98-121",1,33:14,10,23,.435,1,3,.333,9,20,.450,.457,8,9,.889,2,3,5,6,1,1,1,3,29,22.5,-10
41,228,46,2022-01-22,OKC,@,CLE,"L, 87-94",1,38:32,12,23,.522,3,7,.429,9,16,.563,.587,2,5,.400,2,7,9,6,3,1,3,5,29,22.9,-1
42,229,47,2022-01-24,OKC,,CHI,"L, 110-111",1,38:31,9,17,.529,2,5,.400,7,12,.583,.588,11,14,.786,0,3,3,10,3,1,3,1,31,29.7,2
43,230,48,2022-01-28,OKC,,IND,"L, 110-113 (OT)",1,17:22,4,10,.400,0,3,.000,4,7,.571,.400,2,6,.333,0,2,2,3,2,1,0,0,10,8.4,10
43,,49,2022-01-31,OKC,,POR,"W, 98-81",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,50,2022-02-02,OKC,@,DAL,"W, 120-114 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,51,2022-02-04,OKC,@,POR,"W, 96-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,52,2022-02-05,OKC,@,SAC,"L, 103-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,53,2022-02-07,OKC,,GSW,"L, 98-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,54,2022-02-09,OKC,,TOR,"L, 98-117",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,55,2022-02-11,OKC,@,PHI,"L, 87-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,56,2022-02-12,OKC,@,CHI,"L, 101-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,57,2022-02-14,OKC,@,NYK,"W, 127-123 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
43,,58,2022-02-16,OKC,,SAS,"L, 106-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
44,231,59,2022-02-24,OKC,,PHO,"L, 104-124",1,34:40,13,22,.591,1,5,.200,12,17,.706,.614,5,6,.833,1,1,2,5,0,0,6,4,32,18.3,-16
45,232,60,2022-02-25,OKC,@,IND,"W, 129-125 (OT)",1,38:06,13,24,.542,1,5,.200,12,19,.632,.563,9,12,.750,1,7,8,5,2,3,7,2,36,25.8,-5
46,233,61,2022-02-28,OKC,,SAC,"L, 110-131",1,32:52,12,16,.750,3,3,1.000,9,13,.692,.844,10,14,.714,1,6,7,10,3,0,5,5,37,34.5,-17
47,234,62,2022-03-02,OKC,@,DEN,"W, 119-107",1,36:44,10,23,.435,3,5,.600,7,18,.389,.500,6,8,.750,0,7,7,5,2,1,7,2,29,16.6,22
48,235,63,2022-03-04,OKC,,MIN,"L, 101-138",1,29:50,14,21,.667,1,3,.333,13,18,.722,.690,4,5,.800,1,4,5,7,1,0,5,3,33,25.1,-13
49,236,64,2022-03-06,OKC,,UTA,"L, 103-116",1,38:19,11,23,.478,0,4,.000,11,19,.579,.478,11,12,.917,0,7,7,8,4,1,0,4,33,31.7,-2
50,237,65,2022-03-08,OKC,,MIL,"L, 115-142",1,35:09,11,18,.611,3,3,1.000,8,15,.533,.694,8,12,.667,0,8,8,14,3,1,5,3,33,32.9,4
51,238,66,2022-03-09,OKC,@,MIN,"L, 102-132",1,31:17,2,15,.133,0,4,.000,2,11,.182,.133,4,4,1.000,0,3,3,8,1,0,4,1,8,1.4,-23
52,239,67,2022-03-13,OKC,,MEM,"L, 118-125",1,37:53,9,20,.450,1,5,.200,8,15,.533,.475,12,12,1.000,0,6,6,7,2,3,1,5,31,28.4,-15
53,240,68,2022-03-14,OKC,,CHO,"L, 116-134",1,36:09,12,20,.600,3,7,.429,9,13,.692,.675,5,5,1.000,2,6,8,5,0,0,3,5,32,24.5,-3
54,241,69,2022-03-16,OKC,@,SAS,"L, 120-122",1,34:41,14,22,.636,1,4,.250,13,18,.722,.659,5,8,.625,1,5,6,8,3,1,3,1,34,31.1,-8
55,242,70,2022-03-18,OKC,@,MIA,"L, 108-120",1,32:45,9,17,.529,1,4,.250,8,13,.615,.559,7,9,.778,0,7,7,4,1,2,3,2,26,20.4,-17
55,,71,2022-03-20,OKC,@,ORL,"L, 85-90",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,243,72,2022-03-21,OKC,,BOS,"L, 123-132",1,36:34,13,23,.565,4,4,1.000,9,19,.474,.652,1,1,1.000,0,1,1,9,0,0,2,5,31,22.7,-12
56,,73,2022-03-23,OKC,,ORL,"W, 118-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,74,2022-03-26,OKC,@,DEN,"L, 107-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,75,2022-03-28,OKC,@,POR,"W, 134-131 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,76,2022-03-30,OKC,,ATL,"L, 118-136",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,77,2022-04-01,OKC,,DET,"L, 101-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,78,2022-04-03,OKC,,PHO,"W, 117-96",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,79,2022-04-05,OKC,,POR,"W, 98-94",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,80,2022-04-06,OKC,@,UTA,"L, 101-137",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,81,2022-04-08,OKC,@,LAL,"L, 101-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
56,,82,2022-04-10,OKC,@,LAC,"L, 88-138",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
