date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2023-12-31,17.0,1.0,5.0,0.0,3.0,1.0,7.0,2.0,1.0,3.0
2024-01-02,16.0,2.0,1.0,3.0,5.0,2.0,6.0,2.0,1.0,1.0
2024-01-03,21.0,0.0,6.0,4.0,2.0,1.0,9.0,2.0,1.0,3.0
2024-01-05,20.0,1.0,5.0,0.0,3.0,2.0,8.0,2.0,1.0,5.0
2024-01-08,21.0,0.0,10.0,2.0,4.0,1.0,9.0,2.0,1.0,7.0
2024-01-10,19.0,0.0,12.0,1.0,1.0,1.0,8.0,2.0,1.0,9.0
2024-01-11,21.0,2.0,4.0,0.0,1.0,1.0,9.0,2.0,1.0,7.0
2024-01-13,16.0,0.0,2.0,0.0,2.0,1.0,7.0,1.0,1.0,6.0
2024-01-15,25.0,0.0,6.0,3.0,1.0,2.0,10.0,3.0,1.0,3.0
2024-01-16,25.0,0.0,7.0,0.0,4.0,2.0,10.0,3.0,1.0,3.0
2024-01-18,27.0,2.0,8.0,2.0,2.0,4.0,11.0,1.0,1.0,3.0
2024-01-20,20.0,0.0,3.0,3.0,0.0,0.0,6.0,8.0,1.0,5.0
2024-01-23,19.0,2.0,2.0,2.0,0.0,1.0,9.0,0.0,1.0,4.0
2024-01-24,13.0,0.0,7.0,2.0,0.0,1.0,6.0,0.0,1.0,5.0
2024-01-26,15.0,0.0,7.0,0.0,1.0,1.0,7.0,0.0,1.0,4.0
2024-01-28,20.0,0.0,3.0,0.0,0.0,2.0,8.0,2.0,1.0,1.0
2024-01-29,20.0,0.0,3.0,0.0,2.0,4.0,8.0,0.0,1.0,2.0
2024-02-06,26.0,0.0,5.0,1.0,2.0,3.0,10.0,3.0,1.0,5.0
2024-02-10,9.0,0.0,7.0,0.0,2.0,1.0,4.0,0.0,1.0,3.0
2024-02-11,32.0,0.0,9.0,0.0,2.0,2.0,13.0,4.0,1.0,8.0
2024-02-13,33.0,0.0,3.0,1.0,3.0,3.0,12.0,6.0,1.0,2.0
2024-02-22,18.0,3.0,6.0,1.0,1.0,2.0,7.0,2.0,1.0,4.0
2024-02-23,11.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0
2024-02-25,22.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,4.0
2024-02-27,24.0,2.0,5.0,2.0,3.0,2.0,11.0,0.0,1.0,5.0
2024-02-29,26.0,0.0,3.0,1.0,1.0,1.0,10.0,5.0,1.0,6.0
2024-03-03,22.0,0.0,2.0,3.0,1.0,1.0,10.0,1.0,1.0,4.0
2024-03-04,7.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0
2024-03-06,31.0,1.0,3.0,3.0,2.0,4.0,9.0,9.0,1.0,4.0
2024-03-08,15.0,1.0,4.0,1.0,3.0,1.0,6.0,2.0,1.0,5.0
2024-03-10,7.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0
2024-03-14,27.0,3.0,5.0,1.0,3.0,3.0,11.0,2.0,1.0,4.0
2024-03-16,23.0,2.0,6.0,1.0,2.0,1.0,9.0,4.0,1.0,7.0
2024-03-20,18.0,0.0,4.0,1.0,3.0,0.0,8.0,2.0,1.0,2.0
2024-03-22,20.0,2.0,3.0,3.0,3.0,0.0,9.0,2.0,1.0,3.0
2024-03-24,18.0,0.0,4.0,1.0,0.0,1.0,8.0,1.0,1.0,3.0
2024-03-26,26.0,1.0,5.0,0.0,2.0,3.0,9.0,5.0,1.0,2.0
2024-03-27,23.0,1.0,10.0,2.0,5.0,3.0,9.0,2.0,1.0,5.0
2024-03-29,16.0,1.0,3.0,2.0,2.0,0.0,6.0,4.0,1.0,4.0
2024-03-31,33.0,2.0,8.0,2.0,1.0,1.0,14.0,4.0,1.0,4.0
2024-04-09,11.0,0.0,4.0,1.0,2.0,1.0,5.0,0.0,1.0,6.0
2024-04-10,10.0,1.0,2.0,3.0,1.0,0.0,5.0,0.0,1.0,7.0
2024-04-12,17.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0
2024-04-14,9.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
2024-04-21,19.0,0.0,4.0,2.0,4.0,1.0,8.0,2.0,1.3,7.0
2024-04-24,21.0,0.0,7.0,1.0,2.0,1.0,10.0,0.0,1.3,5.0
