ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,153,1,2020-12-26,OKC,@,CHO,"W, 109-107",1,34:22,8,20,.400,1,6,.167,7,14,.500,.425,7,10,.700,2,5,7,9,0,1,5,4,24,15.3,14
2,154,2,2020-12-28,OKC,,UTA,"L, 109-110",1,36:25,9,21,.429,1,7,.143,8,14,.571,.452,4,4,1.000,0,3,3,7,1,1,4,3,23,14.2,4
3,155,3,2020-12-29,OKC,,ORL,"L, 107-118",1,33:20,8,10,.800,3,3,1.000,5,7,.714,.950,4,5,.800,0,7,7,7,0,0,5,1,23,20.4,-8
4,156,4,2020-12-31,OKC,,NOP,"L, 80-113",1,28:30,3,10,.300,2,6,.333,1,4,.250,.400,0,2,.000,1,3,4,4,2,0,2,2,8,5.0,-14
5,157,5,2021-01-02,OKC,@,ORL,"W, 108-99",1,34:46,5,17,.294,2,9,.222,3,8,.375,.353,4,5,.800,0,4,4,7,0,1,1,3,16,10.3,1
6,158,6,2021-01-04,OKC,@,MIA,"L, 90-118",1,27:51,7,15,.467,2,6,.333,5,9,.556,.533,2,2,1.000,0,2,2,4,0,0,2,2,18,10.9,-21
7,159,7,2021-01-06,OKC,@,NOP,"W, 111-110",1,36:30,7,17,.412,2,7,.286,5,10,.500,.471,5,6,.833,0,5,5,9,5,0,2,2,21,21.5,-4
8,160,8,2021-01-08,OKC,@,NYK,"W, 101-89",1,34:29,9,14,.643,3,3,1.000,6,11,.545,.750,4,6,.667,4,6,10,7,0,1,3,2,25,24.4,3
9,161,9,2021-01-10,OKC,@,BRK,"W, 129-116",1,36:01,11,16,.688,2,4,.500,9,12,.750,.750,7,8,.875,1,5,6,7,2,1,2,3,31,30.4,1
10,162,10,2021-01-12,OKC,,SAS,"L, 102-112",1,33:29,7,10,.700,0,0,,7,10,.700,.700,6,9,.667,2,7,9,2,0,0,2,2,20,16.7,0
11,163,11,2021-01-13,OKC,,LAL,"L, 99-128",1,27:16,5,12,.417,1,3,.333,4,9,.444,.458,6,7,.857,0,2,2,1,0,0,2,1,17,9.1,-22
12,164,12,2021-01-15,OKC,,CHI,"W, 127-125 (OT)",1,43:31,13,19,.684,3,5,.600,10,14,.714,.763,4,4,1.000,0,5,5,10,1,0,1,5,33,31.4,18
13,165,13,2021-01-19,OKC,@,DEN,"L, 101-119",1,27:13,5,11,.455,1,4,.250,4,7,.571,.500,3,6,.500,0,5,5,7,0,1,4,0,14,10.2,-19
14,166,14,2021-01-22,OKC,@,LAC,"L, 106-120",1,38:37,11,20,.550,2,5,.400,9,15,.600,.600,6,6,1.000,0,3,3,8,2,0,3,2,30,25.1,-10
15,167,15,2021-01-24,OKC,@,LAC,"L, 100-108",1,36:43,8,16,.500,1,3,.333,7,13,.538,.531,6,6,1.000,1,5,6,7,0,0,2,3,23,18.9,-10
