date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2023-03-25,12.0,1.0,4.0,0.0,3.0,2.0,5.0,0.0,1.0,2.0
2023-03-27,17.0,0.0,5.0,1.0,0.0,1.0,8.0,0.0,1.0,5.0
2023-03-29,15.0,0.0,15.0,0.0,1.0,1.0,6.0,2.0,1.0,2.0
2023-03-31,18.0,0.0,6.0,0.0,4.0,3.0,7.0,1.0,1.0,3.0
2023-04-02,13.0,0.0,8.0,3.0,3.0,1.0,6.0,0.0,1.0,2.0
2023-04-05,12.0,0.0,9.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0
2023-04-07,12.0,0.0,10.0,0.0,4.0,0.0,5.0,2.0,1.0,4.0
2023-04-09,19.0,0.0,9.0,3.0,2.0,1.0,7.0,4.0,1.0,3.0
2023-10-25,12.0,0.0,10.0,0.0,2.0,0.0,6.0,0.0,1.0,4.0
2023-10-28,4.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0
2023-10-30,6.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0
2023-11-01,14.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,2.0
2023-11-03,6.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
2023-11-04,7.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0
2023-11-06,9.0,0.0,8.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0
2023-11-08,9.0,0.0,7.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0
2023-11-09,10.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0
2023-11-12,4.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
2023-11-14,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
2023-11-24,13.0,0.0,4.0,1.0,2.0,1.0,6.0,0.0,1.0,3.0
2023-11-27,8.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,1.0,3.0
2023-11-30,2.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0
2023-12-02,4.0,0.0,11.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
2023-12-04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2023-12-07,8.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
2023-12-21,6.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0
2023-12-23,17.0,0.0,5.0,0.0,1.0,1.0,8.0,0.0,1.0,1.0
2023-12-26,11.0,0.0,6.0,0.0,6.0,1.0,5.0,0.0,1.0,2.0
2023-12-28,8.0,0.0,4.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0
2023-12-30,14.0,0.0,5.0,2.0,4.0,2.0,5.0,2.0,1.0,5.0
2024-01-01,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
2024-01-08,9.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0
2024-01-10,2.0,0.0,5.0,2.0,5.0,0.0,1.0,0.0,1.0,2.0
2024-01-12,10.0,0.0,6.0,2.0,4.0,2.0,4.0,0.0,1.0,4.0
2024-01-14,12.0,0.0,7.0,0.0,2.0,0.0,4.0,4.0,1.0,2.0
2024-01-15,14.0,0.0,4.0,1.0,2.0,1.0,5.0,3.0,1.0,0.0
2024-01-21,9.0,0.0,6.0,1.0,4.0,0.0,3.0,3.0,1.0,0.0
2024-01-23,15.0,0.0,7.0,0.0,2.0,1.0,7.0,0.0,1.0,1.0
2024-01-25,19.0,1.0,8.0,1.0,6.0,1.0,8.0,2.0,1.0,2.0
2024-01-26,22.0,0.0,8.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0
2024-01-28,16.0,0.0,9.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0
2024-01-30,15.0,0.0,5.0,0.0,0.0,1.0,6.0,2.0,1.0,4.0
2024-02-01,10.0,0.0,6.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0
2024-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-02-04,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0
2024-02-06,9.0,0.0,5.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0
2024-02-08,10.0,1.0,3.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0
2024-02-10,7.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0
2024-02-12,10.0,0.0,7.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0
2024-02-14,14.0,0.0,5.0,2.0,1.0,2.0,5.0,2.0,1.0,3.0
2024-02-22,8.0,1.0,5.0,2.0,2.0,0.0,4.0,0.0,1.0,6.0
2024-02-25,15.0,0.0,2.0,1.0,0.0,1.0,7.0,0.0,1.0,3.0
2024-02-26,11.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0
2024-02-28,8.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,4.0
2024-03-01,10.0,0.0,4.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0
2024-03-03,7.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,3.0
2024-03-05,10.0,0.0,5.0,1.0,1.0,2.0,4.0,0.0,1.0,3.0
2024-03-07,7.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,6.0
2024-03-10,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
2024-03-12,14.0,0.0,5.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0
2024-03-13,8.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
2024-03-16,7.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0
