ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,278,1,2022-10-19,NYK,@,MEM,"L, 112-115 (OT)",1,36:05,7,18,.389,1,4,.250,6,14,.429,.417,0,0,,2,4,6,9,0,0,0,3,15,12.9,3
2,279,2,2022-10-21,NYK,,DET,"W, 130-106",1,28:22,6,11,.545,2,4,.500,4,7,.571,.636,3,5,.600,0,2,2,6,1,0,0,2,17,15.9,3
3,280,3,2022-10-24,NYK,,ORL,"W, 115-102",1,33:02,8,16,.500,2,4,.500,6,12,.500,.563,3,3,1.000,0,3,3,6,2,0,3,5,21,15.1,17
4,281,4,2022-10-26,NYK,,CHO,"W, 134-131 (OT)",1,40:35,10,15,.667,2,5,.400,8,10,.800,.733,5,5,1.000,0,7,7,13,1,1,3,2,27,29.6,7
5,282,5,2022-10-28,NYK,@,MIL,"L, 108-119",1,33:08,3,10,.300,1,4,.250,2,6,.333,.350,6,9,.667,0,3,3,2,1,0,3,3,13,5.1,-19
6,283,6,2022-10-30,NYK,@,CLE,"L, 108-121",1,33:57,8,19,.421,0,3,.000,8,16,.500,.421,0,1,.000,0,4,4,7,3,0,1,2,16,12.8,2
7,284,7,2022-11-02,NYK,,ATL,"L, 99-112",1,31:00,8,15,.533,1,4,.250,7,11,.636,.567,3,4,.750,0,1,1,5,0,1,3,2,20,13.0,-4
8,285,8,2022-11-04,NYK,@,PHI,"W, 106-104",1,35:49,7,15,.467,1,4,.250,6,11,.545,.500,8,9,.889,1,5,6,7,0,0,1,3,23,19.8,11
9,286,9,2022-11-05,NYK,,BOS,"L, 118-133",1,32:41,10,17,.588,0,2,.000,10,15,.667,.588,2,2,1.000,0,3,3,10,0,0,0,1,22,21.6,-3
10,287,10,2022-11-07,NYK,@,MIN,"W, 120-107",1,33:35,9,14,.643,2,5,.400,7,9,.778,.714,3,3,1.000,1,4,5,8,0,0,3,3,23,20.1,5
11,288,11,2022-11-09,NYK,@,BRK,"L, 85-112",1,30:58,4,14,.286,1,5,.200,3,9,.333,.321,5,5,1.000,1,3,4,2,0,0,3,0,14,5.8,-22
12,289,12,2022-11-11,NYK,,DET,"W, 121-112",1,32:41,8,16,.500,2,5,.400,6,11,.545,.563,8,8,1.000,0,1,1,7,4,0,0,3,26,26.0,8
13,290,13,2022-11-13,NYK,,OKC,"L, 135-145",1,23:58,5,9,.556,0,2,.000,5,7,.714,.556,7,7,1.000,0,1,1,7,3,0,1,2,17,19.1,-20
14,291,14,2022-11-15,NYK,@,UTA,"W, 118-111",1,34:24,10,20,.500,1,4,.250,9,16,.563,.525,4,4,1.000,1,2,3,8,3,0,4,5,25,18.9,9
15,292,15,2022-11-16,NYK,@,DEN,"W, 106-103",1,31:07,7,13,.538,2,4,.500,5,9,.556,.615,5,5,1.000,0,5,5,7,0,0,1,2,21,19.3,1
