ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
16,,37,2025-01-07,NOP,,MIN,"L, 97-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
16,,38,2025-01-08,NOP,,POR,"L, 100-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
17,42,39,2025-01-17,LAL,,BRK,"W, 102-101",0,14:36,0,0,,0,0,0,0,,,0,0,,0,4,4,0,0,2,1,4,0,0.0,-6
17,,40,2025-01-19,LAL,@,LAC,"L, 102-116",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
18,43,41,2025-01-21,LAL,,WAS,"W, 111-88",0,01:59,0,0,,0,0,0,0,,,1,2,.500,1,1,2,0,0,0,0,0,1,1.6,4
18,,42,2025-01-23,LAL,,BOS,"W, 117-96",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
18,,43,2025-01-25,LAL,@,GSW,"W, 118-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
18,,44,2025-01-27,LAL,@,CHO,"W, 112-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
18,,45,2025-01-28,LAL,@,PHI,"L, 104-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
19,44,46,2025-01-30,LAL,@,WAS,"W, 134-96",0,17:39,2,6,.333,0,0,2,6,.333,.333,0,0,,1,4,5,1,0,2,2,6,4,0.2,12
20,45,47,2025-02-01,LAL,@,NYK,"W, 128-112",0,01:50,0,0,,0,0,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0
21,46,48,2025-02-04,LAL,@,LAC,"W, 122-97",0,05:14,1,1,1.000,0,0,1,1,1.000,1.000,0,2,.000,1,3,4,0,1,0,0,0,2,3.5,-1
21,,49,2025-02-06,LAL,,GSW,"W, 120-112",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,
22,47,50,2025-02-08,LAL,,IND,"W, 124-117",0,11:44,4,5,.800,0,0,4,5,.800,.800,0,0,,1,0,1,1,0,0,0,3,8,6.3,-7
23,48,51,2025-02-10,LAL,,UTA,"W, 132-113",0,06:42,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,1,3,2,-0.5,-11
23,,52,2025-02-12,LAL,@,UTA,"L, 119-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
23,,53,2025-02-19,LAL,,CHO,"L, 97-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,
24,49,54,2025-02-20,LAL,@,POR,"W, 110-102",0,14:11,3,5,.600,0,0,3,5,.600,.600,0,0,,2,2,4,0,0,0,0,2,6,4.9,6
25,50,55,2025-02-22,LAL,@,DEN,"W, 123-100",0,03:19,1,2,.500,0,0,1,2,.500,.500,0,0,,1,0,1,0,0,1,0,0,2,2.4,1
