date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2022-11-13,37.0,2.0,8.0,3.0,6.0,2.0,13.0,9.0,1.0,5.0
2022-11-14,37.0,1.0,8.0,2.0,4.0,2.0,13.0,9.0,1.0,4.0
2022-11-16,42.0,1.0,7.0,0.0,2.0,2.0,14.0,12.0,1.0,6.0
2022-11-18,15.0,1.0,6.0,0.0,2.0,2.0,6.0,1.0,1.0,6.0
2022-11-21,30.0,1.0,7.0,1.0,3.0,0.0,9.0,12.0,1.0,5.0
2022-11-23,31.0,1.0,11.0,2.0,1.0,1.0,8.0,14.0,1.0,7.0
2022-11-25,30.0,1.0,7.0,0.0,1.0,0.0,8.0,14.0,1.0,8.0
2022-11-26,32.0,0.0,3.0,2.0,3.0,1.0,12.0,7.0,1.0,3.0
2022-11-28,31.0,0.0,4.0,2.0,7.0,1.0,7.0,16.0,1.0,6.0
2022-12-03,33.0,1.0,6.0,3.0,4.0,1.0,10.0,12.0,1.0,1.0
2022-12-05,35.0,0.0,5.0,2.0,6.0,0.0,10.0,15.0,1.0,6.0
2022-12-07,26.0,1.0,7.0,0.0,5.0,1.0,4.0,17.0,1.0,3.0
2022-12-10,23.0,0.0,3.0,2.0,2.0,0.0,7.0,9.0,1.0,2.0
2022-12-12,42.0,0.0,3.0,3.0,2.0,1.0,14.0,13.0,1.0,2.0
2022-12-14,27.0,0.0,7.0,1.0,5.0,1.0,10.0,6.0,1.0,8.0
2022-12-16,35.0,0.0,5.0,1.0,5.0,3.0,11.0,10.0,1.0,7.0
2022-12-19,35.0,2.0,6.0,1.0,2.0,1.0,10.0,14.0,1.0,2.0
2022-12-21,27.0,1.0,3.0,2.0,5.0,0.0,8.0,11.0,1.0,6.0
2022-12-23,44.0,1.0,6.0,2.0,2.0,3.0,17.0,7.0,1.0,10.0
2022-12-27,28.0,4.0,8.0,2.0,4.0,0.0,9.0,10.0,1.0,6.0
2022-12-29,28.0,0.0,5.0,2.0,2.0,1.0,11.0,5.0,1.0,3.0
2022-12-31,14.0,0.0,5.0,0.0,2.0,1.0,4.0,5.0,1.0,6.0
2023-01-04,33.0,1.0,4.0,1.0,3.0,0.0,8.0,17.0,1.0,4.0
2023-01-06,30.0,2.0,4.0,1.0,0.0,1.0,12.0,5.0,1.0,3.0
2023-01-08,33.0,2.0,5.0,1.0,3.0,0.0,11.0,11.0,1.0,5.0
2023-01-10,26.0,0.0,4.0,3.0,6.0,2.0,9.0,6.0,1.0,4.0
2023-01-12,37.0,2.0,6.0,1.0,1.0,1.0,10.0,16.0,1.0,8.0
2023-01-13,21.0,2.0,6.0,4.0,2.0,0.0,7.0,7.0,1.0,5.0
2023-01-15,28.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,1.0,7.0
2023-01-18,23.0,0.0,6.0,3.0,2.0,1.0,7.0,8.0,1.0,3.0
2023-01-20,37.0,0.0,7.0,2.0,0.0,2.0,16.0,3.0,1.0,1.0
2023-01-22,34.0,2.0,5.0,0.0,1.0,1.0,13.0,7.0,1.0,5.0
2023-01-25,36.0,2.0,7.0,2.0,4.0,1.0,13.0,9.0,1.0,5.0
2023-01-27,35.0,1.0,8.0,2.0,0.0,1.0,12.0,10.0,1.0,5.0
2023-01-30,31.0,3.0,7.0,0.0,5.0,1.0,10.0,10.0,1.0,4.0
2023-02-01,24.0,0.0,4.0,3.0,1.0,0.0,7.0,10.0,1.0,8.0
2023-02-04,42.0,2.0,6.0,3.0,0.0,0.0,14.0,14.0,1.0,4.0
2023-02-06,20.0,0.0,4.0,0.0,0.0,0.0,6.0,8.0,1.0,0.0
2023-02-07,30.0,0.0,8.0,2.0,4.0,1.0,9.0,11.0,1.0,2.0
2023-02-10,44.0,1.0,7.0,2.0,4.0,0.0,13.0,18.0,1.0,3.0
2023-02-13,24.0,0.0,5.0,1.0,6.0,0.0,8.0,8.0,1.0,10.0
2023-02-15,29.0,2.0,6.0,0.0,1.0,0.0,8.0,13.0,1.0,2.0
2023-02-23,39.0,1.0,7.0,2.0,2.0,0.0,12.0,15.0,1.0,8.0
2023-03-05,38.0,1.0,4.0,3.0,4.0,1.0,10.0,17.0,1.0,7.0
2023-03-07,33.0,0.0,6.0,2.0,4.0,2.0,14.0,3.0,1.0,3.0
2023-03-11,35.0,1.0,2.0,4.0,1.0,0.0,11.0,13.0,1.0,6.0
2023-03-14,35.0,0.0,4.0,1.0,3.0,1.0,12.0,10.0,1.0,7.0
2023-03-16,29.0,0.0,3.0,2.0,3.0,1.0,12.0,4.0,1.0,3.0
2023-03-19,40.0,0.0,4.0,1.0,3.0,0.0,12.0,16.0,1.0,5.0
2023-03-21,31.0,0.0,4.0,0.0,4.0,1.0,12.0,6.0,1.0,7.0
2023-03-23,30.0,3.0,3.0,1.0,2.0,1.0,10.0,9.0,1.0,4.0
2023-03-24,27.0,1.0,8.0,1.0,2.0,1.0,9.0,8.0,1.0,5.0
2023-03-26,31.0,0.0,3.0,4.0,3.0,0.0,9.0,13.0,1.0,2.0
2023-03-31,39.0,1.0,4.0,1.0,3.0,0.0,11.0,17.0,1.0,9.0
2023-04-02,39.0,0.0,5.0,2.0,1.0,0.0,11.0,17.0,1.0,3.0
2023-04-04,32.0,0.0,7.0,0.0,3.0,2.0,11.0,8.0,1.0,5.0
2023-04-06,22.0,0.0,7.0,1.0,1.0,1.0,7.0,7.0,1.0,7.0
2023-10-25,31.0,2.0,10.0,1.0,1.0,2.0,12.0,5.0,1.0,5.0
2023-10-27,34.0,1.0,4.0,5.0,5.0,2.0,15.0,2.0,1.0,11.0
2023-10-29,7.0,0.0,7.0,1.0,0.0,0.0,2.0,3.0,1.0,4.0
2023-10-30,32.0,0.0,4.0,3.0,5.0,1.0,11.0,9.0,1.0,9.0
2023-11-01,20.0,0.0,8.0,3.0,2.0,0.0,8.0,4.0,1.0,5.0
2023-11-06,30.0,0.0,6.0,1.0,2.0,3.0,11.0,5.0,1.0,8.0
2023-11-08,43.0,1.0,6.0,2.0,3.0,1.0,15.0,12.0,1.0,7.0
2023-11-10,33.0,2.0,5.0,2.0,2.0,0.0,14.0,5.0,1.0,7.0
2023-11-12,35.0,1.0,4.0,1.0,1.0,2.0,13.0,7.0,1.0,7.0
2023-11-14,28.0,0.0,5.0,7.0,2.0,1.0,10.0,7.0,1.0,6.0
2023-11-16,24.0,1.0,7.0,3.0,2.0,3.0,6.0,9.0,1.0,2.0
2023-11-18,40.0,2.0,6.0,2.0,3.0,2.0,18.0,2.0,1.0,7.0
2023-11-19,28.0,0.0,4.0,1.0,3.0,1.0,10.0,7.0,1.0,3.0
2023-11-22,40.0,3.0,12.0,1.0,2.0,1.0,11.0,17.0,1.0,5.0
2023-11-25,31.0,0.0,5.0,2.0,1.0,1.0,10.0,10.0,1.0,6.0
2023-11-28,32.0,2.0,4.0,3.0,3.0,0.0,13.0,6.0,1.0,4.0
2023-11-30,33.0,0.0,7.0,1.0,0.0,1.0,11.0,10.0,1.0,4.0
2023-12-02,17.0,1.0,9.0,5.0,2.0,2.0,6.0,3.0,1.0,3.0
2023-12-06,33.0,1.0,6.0,6.0,2.0,0.0,13.0,7.0,1.0,3.0
2023-12-08,38.0,1.0,5.0,5.0,0.0,0.0,15.0,8.0,1.0,5.0
2023-12-11,30.0,0.0,7.0,3.0,1.0,0.0,12.0,6.0,1.0,4.0
2023-12-14,43.0,0.0,9.0,2.0,3.0,1.0,13.0,16.0,1.0,6.0
2023-12-16,25.0,0.0,8.0,2.0,2.0,0.0,9.0,7.0,1.0,6.0
2023-12-18,30.0,0.0,5.0,4.0,2.0,1.0,8.0,13.0,1.0,9.0
2023-12-21,31.0,2.0,4.0,4.0,1.0,1.0,11.0,8.0,1.0,8.0
2023-12-23,34.0,0.0,7.0,3.0,3.0,1.0,12.0,9.0,1.0,5.0
2023-12-26,34.0,1.0,9.0,2.0,3.0,0.0,14.0,6.0,1.0,6.0
2023-12-27,36.0,2.0,8.0,2.0,1.0,2.0,13.0,8.0,1.0,7.0
2023-12-29,40.0,1.0,3.0,2.0,1.0,2.0,14.0,10.0,1.0,4.0
2023-12-31,24.0,0.0,6.0,0.0,1.0,1.0,7.0,9.0,1.0,4.0
2024-01-02,36.0,0.0,7.0,1.0,0.0,3.0,14.0,5.0,1.0,6.0
2024-01-03,33.0,0.0,8.0,0.0,2.0,2.0,11.0,9.0,1.0,13.0
2024-01-05,34.0,0.0,6.0,0.0,2.0,2.0,11.0,10.0,1.0,9.0
2024-01-08,32.0,1.0,5.0,3.0,3.0,2.0,11.0,8.0,1.0,6.0
2024-01-10,28.0,1.0,8.0,1.0,3.0,2.0,11.0,4.0,1.0,2.0
2024-01-11,31.0,1.0,4.0,0.0,2.0,1.0,11.0,8.0,1.0,5.0
2024-01-13,37.0,1.0,7.0,3.0,0.0,0.0,13.0,11.0,1.0,6.0
2024-01-15,24.0,1.0,6.0,1.0,3.0,1.0,9.0,5.0,1.0,3.0
2024-01-16,19.0,2.0,4.0,0.0,2.0,0.0,6.0,7.0,1.0,2.0
2024-01-18,31.0,1.0,6.0,1.0,4.0,0.0,8.0,15.0,1.0,6.0
2024-01-20,33.0,0.0,6.0,2.0,2.0,1.0,10.0,12.0,1.0,2.0
2024-01-23,33.0,0.0,10.0,5.0,3.0,0.0,10.0,13.0,1.0,6.0
2024-01-24,32.0,1.0,10.0,2.0,4.0,2.0,9.0,12.0,1.0,6.0
2024-01-26,31.0,1.0,5.0,2.0,4.0,3.0,10.0,8.0,1.0,4.0
2024-01-28,31.0,0.0,4.0,1.0,3.0,1.0,13.0,4.0,1.0,5.0
2024-01-29,37.0,0.0,8.0,2.0,4.0,2.0,10.0,15.0,1.0,7.0
2024-01-31,34.0,2.0,5.0,1.0,2.0,2.0,10.0,12.0,1.0,7.0
2024-02-02,31.0,3.0,9.0,5.0,3.0,1.0,11.0,8.0,1.0,3.0
2024-02-04,23.0,3.0,14.0,2.0,2.0,2.0,9.0,3.0,1.0,9.0
2024-02-06,28.0,1.0,7.0,1.0,2.0,2.0,11.0,4.0,1.0,4.0
2024-02-10,25.0,1.0,5.0,0.0,3.0,0.0,9.0,7.0,1.0,6.0
2024-02-11,38.0,2.0,7.0,1.0,1.0,3.0,15.0,5.0,1.0,3.0
2024-02-13,32.0,1.0,5.0,2.0,1.0,1.0,11.0,9.0,1.0,3.0
2024-02-22,31.0,2.0,8.0,1.0,2.0,3.0,12.0,4.0,1.0,4.0
2024-02-23,30.0,1.0,9.0,1.0,1.0,1.0,10.0,9.0,1.0,7.0
2024-02-25,36.0,1.0,7.0,3.0,4.0,2.0,13.0,8.0,1.0,5.0
2024-02-27,31.0,0.0,3.0,1.0,2.0,4.0,11.0,5.0,1.0,8.0
2024-02-29,31.0,1.0,3.0,1.0,1.0,1.0,12.0,6.0,1.0,6.0
2024-03-03,35.0,3.0,9.0,3.0,1.0,0.0,15.0,5.0,1.0,8.0
2024-03-04,20.0,2.0,4.0,4.0,4.0,1.0,5.0,9.0,1.0,7.0
2024-03-06,37.0,1.0,5.0,1.0,4.0,0.0,13.0,11.0,1.0,3.0
2024-03-08,37.0,2.0,6.0,1.0,1.0,2.0,13.0,9.0,1.0,5.0
2024-03-10,23.0,0.0,6.0,0.0,1.0,5.0,8.0,2.0,1.0,2.0
2024-03-12,30.0,1.0,5.0,2.0,4.0,1.0,12.0,5.0,1.0,10.0
2024-03-14,31.0,0.0,5.0,2.0,1.0,1.0,9.0,12.0,1.0,9.0
2024-03-16,20.0,1.0,3.0,0.0,3.0,1.0,8.0,3.0,1.0,7.0
2024-03-20,31.0,0.0,7.0,4.0,1.0,2.0,12.0,5.0,1.0,3.0
2024-03-22,23.0,1.0,8.0,3.0,6.0,1.0,9.0,4.0,1.0,7.0
2024-03-24,12.0,1.0,2.0,3.0,4.0,0.0,5.0,2.0,1.0,3.0
2024-03-26,24.0,0.0,8.0,2.0,0.0,1.0,9.0,5.0,1.0,5.0
2024-03-31,19.0,0.0,3.0,1.0,2.0,1.0,7.0,4.0,1.0,2.0
2024-04-09,40.0,2.0,4.0,2.0,5.0,2.0,11.0,16.0,1.0,7.0
2024-04-10,26.0,0.0,5.0,0.0,1.0,1.0,10.0,5.0,1.0,6.0
2024-04-12,23.0,1.0,3.0,0.0,0.0,0.0,7.0,9.0,1.0,7.0
2024-04-14,15.0,0.0,6.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0
2024-04-21,28.0,0.0,4.0,0.0,3.0,0.0,11.0,6.0,1.3,6.0
2024-04-24,33.0,0.0,5.0,2.0,2.0,3.0,13.0,4.0,1.3,3.0
2024-04-27,24.0,1.0,8.0,4.0,3.0,1.0,8.0,7.0,1.3,5.0
2024-04-29,24.0,2.0,3.0,0.0,2.0,1.0,8.0,7.0,1.3,10.0
2024-05-07,29.0,2.0,9.0,1.0,2.0,2.0,8.0,11.0,1.3,9.0
2024-05-09,33.0,2.0,8.0,1.0,2.0,1.0,13.0,6.0,1.3,12.0
2024-05-11,31.0,5.0,6.0,1.0,5.0,2.0,10.0,9.0,1.3,10.0
2024-05-13,34.0,2.0,5.0,2.0,0.0,0.0,14.0,6.0,1.3,8.0
2024-05-15,30.0,1.0,8.0,2.0,3.0,2.0,12.0,4.0,1.3,6.0
2024-05-18,36.0,2.0,8.0,0.0,0.0,4.0,14.0,4.0,1.3,3.0
2024-10-24,28.0,3.0,8.0,2.0,2.0,2.0,11.0,4.0,1.0,7.0
2024-10-26,23.0,0.0,2.0,4.0,1.0,2.0,9.0,3.0,1.0,8.0
2024-10-27,35.0,3.0,9.0,3.0,1.0,3.0,11.0,10.0,1.0,11.0
2024-10-30,18.0,0.0,5.0,1.0,1.0,2.0,7.0,2.0,1.0,4.0
