date,pts,blk,ast,stl,tov,fg3,fg,ft,is_playoff,reb
2022-03-23,13.0,1.0,15.0,3.0,0.0,1.0,4.0,4.0,1.0,5.0
2022-03-24,9.0,0.0,8.0,1.0,2.0,0.0,4.0,1.0,1.0,3.0
2022-03-26,7.0,0.0,12.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0
2022-03-28,25.0,2.0,13.0,2.0,4.0,4.0,9.0,3.0,1.0,3.0
2022-03-30,15.0,1.0,12.0,4.0,2.0,0.0,6.0,3.0,1.0,5.0
2022-04-01,30.0,0.0,2.0,3.0,2.0,6.0,10.0,4.0,1.0,1.0
2022-04-03,19.0,2.0,17.0,0.0,0.0,0.0,6.0,7.0,1.0,9.0
2022-04-05,21.0,0.0,5.0,2.0,6.0,3.0,7.0,4.0,1.0,8.0
2022-04-09,19.0,1.0,9.0,1.0,6.0,0.0,7.0,5.0,1.0,1.0
2022-04-10,17.0,0.0,10.0,2.0,1.0,2.0,7.0,1.0,1.0,4.0
2022-10-19,26.0,0.0,7.0,0.0,3.0,3.0,10.0,3.0,1.0,4.0
2022-10-21,27.0,0.0,12.0,1.0,4.0,1.0,9.0,8.0,1.0,3.0
2022-10-22,24.0,0.0,10.0,5.0,1.0,3.0,7.0,7.0,1.0,4.0
2022-10-24,19.0,0.0,10.0,0.0,4.0,3.0,7.0,2.0,1.0,6.0
2022-10-26,17.0,1.0,11.0,1.0,6.0,2.0,6.0,3.0,1.0,4.0
2022-10-28,25.0,0.0,12.0,1.0,1.0,3.0,9.0,4.0,1.0,2.0
2022-10-29,26.0,0.0,8.0,3.0,3.0,6.0,7.0,6.0,1.0,6.0
2022-10-31,11.0,0.0,5.0,2.0,7.0,1.0,4.0,2.0,1.0,8.0
2022-11-04,22.0,0.0,9.0,2.0,1.0,3.0,9.0,1.0,1.0,9.0
2022-11-07,20.0,0.0,13.0,2.0,2.0,6.0,7.0,0.0,1.0,4.0
2022-11-09,21.0,0.0,12.0,3.0,1.0,3.0,9.0,0.0,1.0,1.0
2022-11-12,8.0,1.0,15.0,2.0,3.0,2.0,3.0,0.0,1.0,6.0
2022-11-16,22.0,0.0,11.0,3.0,3.0,3.0,9.0,1.0,1.0,2.0
2022-11-18,19.0,0.0,8.0,1.0,1.0,2.0,7.0,3.0,1.0,6.0
2022-11-19,22.0,3.0,14.0,2.0,3.0,3.0,9.0,1.0,1.0,4.0
2022-11-21,18.0,0.0,14.0,0.0,7.0,1.0,7.0,3.0,1.0,4.0
2022-11-23,10.0,0.0,14.0,1.0,3.0,2.0,4.0,0.0,1.0,2.0
2022-11-25,21.0,0.0,15.0,4.0,0.0,1.0,7.0,6.0,1.0,6.0
2022-11-27,15.0,0.0,11.0,2.0,0.0,3.0,6.0,0.0,1.0,5.0
