ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,131.0,1,2020-12-23,DAL,@,PHO,"L, 102-106",0,18:11,5.0,8.0,0.625,0.0,2.0,0.0,5.0,6.0,0.833,0.625,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,2.0,12.0,8.0,3.0
2,132.0,2,2020-12-25,DAL,@,LAL,"L, 115-138",0,13:52,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,-1.2,-9.0
3,133.0,3,2020-12-27,DAL,@,LAC,"W, 124-73",0,13:19,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,0.75,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,11.0,11.1,20.0
4,134.0,4,2020-12-30,DAL,,CHO,"L, 99-118",0,20:16,5.0,13.0,0.385,2.0,5.0,0.4,3.0,8.0,0.375,0.462,4.0,6.0,0.667,0.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,16.0,12.1,4.0
5,135.0,5,2021-01-01,DAL,,MIA,"W, 93-83",0,12:11,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,1.8,-2.0
6,136.0,6,2021-01-03,DAL,@,CHI,"L, 108-118",1,37:30,11.0,17.0,0.647,3.0,7.0,0.429,8.0,10.0,0.8,0.735,6.0,6.0,1.0,0.0,5.0,5.0,7.0,1.0,0.0,4.0,0.0,31.0,26.9,4.0
7,137.0,7,2021-01-04,DAL,@,HOU,"W, 113-100",0,18:34,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,5.0,-4.0
8,138.0,8,2021-01-07,DAL,@,DEN,"W, 124-117 (OT)",0,18:39,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,7.0,3.8,8.0
9,139.0,13,2021-01-18,DAL,@,TOR,"L, 93-116",1,27:24,4.0,10.0,0.4,3.0,4.0,0.75,1.0,6.0,0.167,0.55,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,13.0,6.4,-3.0
10,140.0,14,2021-01-20,DAL,@,IND,"W, 124-112",1,33:53,8.0,13.0,0.615,0.0,2.0,0.0,8.0,11.0,0.727,0.615,3.0,3.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,19.0,15.0,10.0
11,141.0,15,2021-01-22,DAL,@,SAS,"W, 122-117",1,30:35,6.0,11.0,0.545,3.0,5.0,0.6,3.0,6.0,0.5,0.682,1.0,1.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,1.0,16.0,14.7,12.0
12,142.0,16,2021-01-23,DAL,,HOU,"L, 108-133",1,32:57,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,5.0,6.0,0.833,1.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,9.0,8.2,-9.0
13,143.0,17,2021-01-25,DAL,,DEN,"L, 113-117",1,29:12,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.25,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,12.0,11.4,-16.0
14,144.0,18,2021-01-27,DAL,@,UTA,"L, 104-116",0,22:03,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,6.0,5.9,-15.0
15,145.0,19,2021-01-29,DAL,@,UTA,"L, 101-120",0,26:15,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,3.0,4.0,0.75,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,13.0,10.5,-11.0
16,146.0,20,2021-01-30,DAL,,PHO,"L, 105-111",0,26:22,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,7.0,3.9,-17.0
17,147.0,21,2021-02-01,DAL,,PHO,"L, 108-109",0,21:14,4.0,9.0,0.444,0.0,3.0,0.0,4.0,6.0,0.667,0.444,3.0,3.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,11.0,8.8,-8.0
18,148.0,22,2021-02-03,DAL,@,ATL,"W, 122-116",0,24:02,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,1.0,2.0,12.0,12.0,7.0
19,149.0,23,2021-02-04,DAL,,GSW,"L, 116-147",0,22:26,6.0,9.0,0.667,3.0,5.0,0.6,3.0,4.0,0.75,0.833,3.0,4.0,0.75,2.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,18.0,16.8,0.0
20,150.0,24,2021-02-06,DAL,,GSW,"W, 134-132",0,22:49,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,,0.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,7.0,7.0,-14.0
21,151.0,25,2021-02-08,DAL,,MIN,"W, 127-122",0,19:28,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,2.0,3.0,4.9,16.0
22,152.0,26,2021-02-10,DAL,,ATL,"W, 118-117",0,30:07,9.0,18.0,0.5,2.0,6.0,0.333,7.0,12.0,0.583,0.556,1.0,1.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,1.0,2.0,21.0,14.9,7.0
23,153.0,27,2021-02-12,DAL,,NOP,"W, 143-130",0,22:24,4.0,5.0,0.8,2.0,2.0,1.0,2.0,3.0,0.667,1.0,3.0,4.0,0.75,0.0,6.0,6.0,7.0,0.0,0.0,0.0,1.0,13.0,17.0,0.0
24,154.0,28,2021-02-14,DAL,,POR,"L, 118-121",0,34:17,5.0,12.0,0.417,0.0,5.0,0.0,5.0,7.0,0.714,0.417,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,5.2,14.0
25,155.0,29,2021-02-22,DAL,,MEM,"W, 102-92",0,27:54,7.0,11.0,0.636,2.0,5.0,0.4,5.0,6.0,0.833,0.727,3.0,4.0,0.75,0.0,7.0,7.0,3.0,1.0,0.0,2.0,1.0,19.0,16.5,6.0
26,156.0,30,2021-02-23,DAL,,BOS,"W, 110-107",0,30:12,6.0,11.0,0.545,5.0,7.0,0.714,1.0,4.0,0.25,0.773,5.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,22.0,15.9,6.0
27,157.0,31,2021-02-25,DAL,@,PHI,"L, 97-111",0,22:57,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,3.0,4.0,0.75,0.0,5.0,5.0,1.0,1.0,0.0,2.0,2.0,11.0,8.7,-12.0
28,158.0,32,2021-02-27,DAL,@,BRK,"W, 115-98",0,26:34,6.0,11.0,0.545,1.0,4.0,0.25,5.0,7.0,0.714,0.591,1.0,2.0,0.5,0.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,14.0,11.1,6.0
29,159.0,33,2021-03-01,DAL,@,ORL,"W, 130-124",0,29:05,9.0,13.0,0.692,3.0,6.0,0.5,6.0,7.0,0.857,0.808,3.0,5.0,0.6,1.0,5.0,6.0,3.0,1.0,0.0,1.0,1.0,24.0,21.6,-10.0
30,160.0,34,2021-03-03,DAL,,OKC,"W, 87-78",1,32:53,5.0,11.0,0.455,0.0,4.0,0.0,5.0,7.0,0.714,0.455,1.0,1.0,1.0,0.0,6.0,6.0,4.0,2.0,0.0,2.0,1.0,11.0,9.5,2.0
31,161.0,35,2021-03-10,DAL,,SAS,"W, 115-104",0,20:18,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,1.0,2.0,0.5,0.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,8.0,7.3,2.0
32,162.0,36,2021-03-11,DAL,@,OKC,"L, 108-116",1,35:35,9.0,15.0,0.6,2.0,4.0,0.5,7.0,11.0,0.636,0.667,6.0,10.0,0.6,0.0,4.0,4.0,3.0,1.0,0.0,1.0,2.0,26.0,20.0,-1.0
33,163.0,37,2021-03-13,DAL,@,DEN,"W, 116-103",0,25:04,4.0,11.0,0.364,1.0,5.0,0.2,3.0,6.0,0.5,0.409,3.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,2.0,12.0,9.5,7.0
34,164.0,38,2021-03-15,DAL,,LAC,"L, 99-109",0,23:52,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,8.0,7.3,-3.0
35,165.0,39,2021-03-17,DAL,,LAC,"W, 105-89",0,15:44,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,0.0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,5.0,2.0,5.0,0.2,-11.0
36,166.0,40,2021-03-19,DAL,@,POR,"L, 119-125",0,14:54,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,9.0,8.1,0.0
37,167.0,41,2021-03-21,DAL,@,POR,"W, 132-92",0,19:03,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.5,25.0
38,168.0,42,2021-03-24,DAL,@,MIN,"W, 128-108",0,29:34,7.0,12.0,0.583,0.0,2.0,0.0,7.0,10.0,0.7,0.583,2.0,3.0,0.667,3.0,8.0,11.0,5.0,1.0,0.0,2.0,5.0,16.0,15.0,17.0
39,169.0,43,2021-03-26,DAL,,IND,"L, 94-109",1,33:50,5.0,13.0,0.385,0.0,2.0,0.0,5.0,11.0,0.455,0.385,0.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,3.0,2.0,10.0,0.9,-4.0
40,170.0,44,2021-03-27,DAL,@,NOP,"L, 103-112",1,39:29,10.0,15.0,0.667,1.0,2.0,0.5,9.0,13.0,0.692,0.7,3.0,5.0,0.6,1.0,1.0,2.0,4.0,0.0,0.0,1.0,3.0,24.0,18.3,1.0
