ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,1,1,2021-05-22,DAL,@,LAC,"W, 113-103",0,20:37,4,7,.571,0,1,.000,4,6,.667,.571,7,8,.875,1,0,1,2,0,0,1,2,15,11.6,-9
2,2,2,2021-05-25,DAL,@,LAC,"W, 127-121",0,17:05,4,7,.571,0,0,,4,7,.571,.571,1,1,1.000,0,3,3,3,0,0,1,1,9,7.3,-7
3,3,3,2021-05-28,DAL,,LAC,"L, 108-118",0,21:59,5,8,.625,4,6,.667,1,2,.500,.875,0,0,,0,2,2,1,0,0,0,1,14,11.3,-19
4,4,4,2021-05-30,DAL,,LAC,"L, 81-106",0,18:52,2,8,.250,1,4,.250,1,4,.250,.313,2,2,1.000,2,2,4,3,0,0,0,0,7,6.3,-9
5,5,5,2021-06-02,DAL,@,LAC,"W, 105-100",0,10:05,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,0,0,0,0,0,2,0.3,-10
6,6,6,2021-06-04,DAL,,LAC,"L, 97-104",0,14:53,3,8,.375,1,2,.500,2,6,.333,.438,0,2,.000,1,3,4,0,0,0,2,2,7,0.6,9
7,7,7,2021-06-06,DAL,@,LAC,"L, 111-126",0,10:26,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,2,4,1,0,0,0,0,2,3.0,-11
